,,Time Calculation,,,Formulae,,,,,,,,,,,,,,,,Minimum = ,,,,Minimum = ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.008168346,,,,0.027362658,,,,,,,
BL,N,WS,RM_count,RL_count,RLH_count,RLM_count,RLMD_count,WM_count,WL_count,WLH_count,WLM_count,WLMD_count,WT_count,WTM_count,FCD_count,FC_count ,Total Read Time,Write Time for WB ,Write Time for WTNA,Write time for WTA ,"Write Time for (WB,WTNA,WTA)",Total Time for WB,Total Time for WTNA ,Total Time for WTA,"Total Time for (WB,WTNA,WTA)",Write line HIT ratio,Read line HIT ratio ,Total HIT Ratio ,Total MISS Ratio ,Total Memory access time ,,Formulae
2,2,WB,14178428,14178428,14102672,75756,6094,5724158,5724158,5693000,31158,23122,0,0,2019,16384,0.020405122,0.00987256,,,0.00987256,0.030398822,,,0.030398822,0.994556754,0.994656954,1.989213708,0.010786292,1.53E-07,,
2,2,WTNA,14178428,14178428,14100034,78394,0,5724158,5724158,5690200,33958,0,5724158,5724158,0,16384,0.020136372,,0.34913968,,0.34913968,,0.369276052,,0.369276052,0.994067599,0.994470896,1.988538495,0.011461505,1.53E-07,,
2,2,WTA,14178428,14178428,14102672,75756,0,5724158,5724158,5693000,31158,0,5724158,5724158,0,16384,0.019935884,,,0.351541646,0.351541646,,,0.37147753,0.37147753,0.994556754,0.994656954,1.989213708,0.010786292,1.53E-07,,
2,4,WB,14178428,14178428,14094353,84075,5123,5724158,5724158,5690955,33203,27679,0,0,518,16384,0.020962599,0.010378869,,,0.010378869,0.031372548,,,0.031372548,0.994199496,0.994070217,1.988269713,0.011730287,1.53E-07,,
2,4,WTNA,14178428,14178428,14092992,85436,0,5724158,5724158,5688990,35168,0,5724158,5724158,0,16384,0.020671564,,0.34913847,,0.34913847,,0.369810034,,0.369810034,0.993856214,0.993974226,1.987830441,0.012169559,1.53E-07,,
2,4,WTA,14178428,14178428,14094353,84075,0,5724158,5724158,5690955,33203,0,5724158,5724158,0,16384,0.020568128,,,0.351697066,0.351697066,,,0.372265194,0.372265194,0.994199496,0.994070217,1.988269713,0.011730287,1.53E-07,,
2,8,WB,14178428,14178428,14088410,90018,5361,5724158,5724158,5689458,34700,29337,0,0,150,16384,0.021432593,0.010620307,,,0.010620307,0.0320619,,,0.0320619,0.993937973,0.993651059,1.987589032,0.012410968,1.53E-07,,
2,8,WTNA,14178428,14178428,14086846,91582,0,5724158,5724158,5686614,37544,0,5724158,5724158,0,16384,0.02113866,,0.349136094,,0.349136094,,0.370274754,,0.370274754,0.993441131,0.993540751,1.986981882,0.013018118,1.53E-07,,
2,8,WTA,14178428,14178428,14088410,90018,0,5724158,5724158,5689458,34700,0,5724158,5724158,0,16384,0.021019796,,,0.351810838,0.351810838,,,0.372830634,0.372830634,0.993937973,0.993651059,1.987589032,0.012410968,1.53E-07,,
2,16,WB,14178428,14178428,14079474,98954,7662,5724158,5724158,5687223,36935,29393,0,0,66,16384,0.022288906,0.010794479,,,0.010794479,0.033087345,,,0.033087345,0.993547523,0.993020806,1.986568329,0.013431671,1.53E-07,,
2,16,WTNA,14178428,14178428,14076925,101503,0,5724158,5724158,5682099,42059,0,5724158,5724158,0,16384,0.021892656,,0.349131579,,0.349131579,,0.371024235,,0.371024235,0.992652369,0.992841026,1.985493395,0.014506605,1.53E-07,,
2,16,WTA,14178428,14178428,14079474,98954,0,5724158,5724158,5687223,36935,0,5724158,5724158,0,16384,0.021698932,,,0.351980698,0.351980698,,,0.37367963,0.37367963,0.993547523,0.993020806,1.986568329,0.013431671,1.53E-07,,
4,1,WB,14178428,14178428,14145054,33374,2878,5724158,5724158,5703244,20914,13987,0,0,4061,8192,0.018169026,0.009577255,,,0.009577255,0.027989941,,,0.027989941,0.996346362,0.997646142,1.993992505,0.006007495,2.21E-07,,
4,1,WTNA,14178428,14178428,14140330,38098,0,5724158,5724158,5690588,33570,0,5724158,5724158,0,8192,0.018369208,,0.349140068,,0.349140068,,0.367509276,,0.367509276,0.994135382,0.99731296,1.991448342,0.008551658,2.21E-07,,
4,1,WTA,14178428,14178428,14145054,33374,0,5724158,5724158,5703244,20914,0,5724158,5724158,0,8192,0.017849568,,,0.351474178,0.351474178,,,0.369323746,0.369323746,0.996346362,0.997646142,1.993992505,0.006007495,2.21E-07,,
4,2,WB,14178428,14178428,14125708,52720,4135,5724158,5724158,5693586,30572,25469,0,0,1009,8192,0.020436613,0.011914137,,,0.011914137,0.03241129,,,0.03241129,0.994659127,0.996281675,1.990940802,0.009059198,2.21E-07,,
4,2,WTNA,14178428,14178428,14123770,54658,0,5724158,5724158,5689320,34838,0,5724158,5724158,0,8192,0.020190808,,0.3491388,,0.3491388,,0.369329608,,0.369329608,0.993913865,0.996144989,1.990058853,0.009941147,2.21E-07,,
4,2,WTA,14178428,14178428,14125708,52720,0,5724158,5724158,5693586,30572,0,5724158,5724158,0,8192,0.019977628,,,0.352536558,0.352536558,,,0.372514186,0.372514186,0.994659127,0.996281675,1.990940802,0.009059198,2.21E-07,,
4,4,WB,14178428,14178428,14119340,59088,4690,5724158,5724158,5690296,33862,28982,0,0,259,8192,0.021198698,0.01266598,,,0.01266598,0.033880218,,,0.033880218,0.99408437,0.995832542,1.989916912,0.010083088,2.21E-07,,
4,4,WTNA,14178428,14178428,14117547,60881,0,5724158,5724158,5687504,36654,0,5724158,5724158,0,8192,0.020875338,,0.349136984,,0.349136984,,0.370012322,,0.370012322,0.993596613,0.995706083,1.989302695,0.010697305,2.21E-07,,
